x	y	C
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	1
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	1
7	4	1
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	1
6	5	1
7	5	2
0	6	0
1	6	0
2	6	0
3	6	0
4	6	1
5	6	1
6	6	2
7	6	2
0	7	0
1	7	0
2	7	0
3	7	1
4	7	1
5	7	2
6	7	2
7	7	2
0	8	0
1	8	0
2	8	1
3	8	1
4	8	2
5	8	2
6	8	2
7	8	2
0	9	0
1	9	1
2	9	1
3	9	2
4	9	2
5	9	2
6	9	2
7	9	3
0	10	1
1	10	1
2	10	2
3	10	2
4	10	2
5	10	2
6	10	3
7	10	3
0	11	1
1	11	2
2	11	2
3	11	2
4	11	2
5	11	3
6	11	3
7	11	3
0	12	2
1	12	2
2	12	2
3	12	2
4	12	3
5	12	3
6	12	3
7	12	3
0	13	2
1	13	2
2	13	2
3	13	3
4	13	3
5	13	3
6	13	3
7	13	4
0	14	2
1	14	2
2	14	3
3	14	3
4	14	3
5	14	3
6	14	4
7	14	4
0	15	2
1	15	3
2	15	3
3	15	3
4	15	3
5	15	4
6	15	4
7	15	4
0	16	3
1	16	3
2	16	3
3	16	3
4	16	4
5	16	4
6	16	4
7	16	4
0	17	3
1	17	3
2	17	3
3	17	4
4	17	4
5	17	4
6	17	4
7	17	4
0	18	3
1	18	3
2	18	4
3	18	4
4	18	4
5	18	4
6	18	4
7	18	4
0	19	3
1	19	4
2	19	4
3	19	4
4	19	4
5	19	4
6	19	4
7	19	4
0	20	4
1	20	4
2	20	4
3	20	4
4	20	4
5	20	4
6	20	4
7	20	4
