res,e,h,b,v,lr,H,t,cell,mech,red,ipt,c,cn,cl
-0.015447154641151428,2,1,1,25,2.3472381246978104e-08,0.8989522352514563,0.005245822587819855,lstm,reinforce,mean,structured,True,5,76
-0.0268292681624492,9,6,3,48,1.9408056173733176e-06,0.6532268902578149,6.288244447494296e-05,lstm,gs,none,one-hot,False,6,73
-0.116260161002477,5,5,4,6,0.007677078294745017,0.7705311632299914,0.007539691269747037,gru,reinforce,none,structured,False,2,28
-0.01138211383173863,1,3,9,22,7.336984521474516e-08,0.7125872342579627,0.4692837473179708,lstm,reinforce,none,structured,False,2,36
-0.02926829271018505,5,6,0,52,0.0020545988052785603,0.9559802042082673,0.00019839331544122907,lstm,reinforce,mean,one-hot,False,6,42
-0.013821138069033623,4,6,10,56,1.2636151657991033e-06,0.5363865549746261,3.5042062630750535e-05,lstm,gs,none,one-hot,True,6,63
-0.019512195140123367,9,9,6,25,2.0591724553347863e-07,0.7218298352471042,3.742137417618215e-08,lstm,gs,mean,one-hot,True,4,25
-0.016260162616769474,4,4,3,27,7.146524577669924e-07,0.3970328819753314,4.353743095573057e-06,lstm,reinforce,mean,structured,True,3,52
-0.030081300685803097,9,4,3,45,5.740089987292732e-05,0.586839730070592,3.8862515045017025e-08,rnn,gs,none,one-hot,False,5,63
-0.030081300685803097,1,2,3,42,0.00031743260865228236,0.8168064128636371,4.113301443115829e-08,gru,reinforce,mean,one-hot,False,5,28
-0.0,10,10,6,4,1.0,0.0,1e-08,rnn,gs,mean,one-hot,True,7,100
-0.009756097725282112,10,1,10,4,1e-08,0.0,1e-08,gru,gs,none,one-hot,True,7,100
-0.0,10,10,0,64,1.0,1.0,10.0,rnn,gs,none,structured,False,2,100
-0.08943089284002781,6,5,6,4,0.01978642172689952,0.8122472574551616,0.002643295553493858,gru,reinforce,none,structured,False,2,41
-0.030081300685803097,10,6,3,61,0.005291917557991917,0.3550559130624791,0.010033076898257937,gru,gs,mean,structured,True,4,33
-0.16422763963540396,6,6,2,4,0.00273019622721912,0.6900369207116435,1.0104006151433218,gru,reinforce,none,structured,False,2,8
-0.012195121962577105,4,1,0,4,1e-08,0.6204314926968119,1e-08,lstm,reinforce,mean,one-hot,True,7,8
-0.021138211091359455,10,10,0,64,1e-08,0.0,10.0,gru,reinforce,none,one-hot,True,2,8
-0.0,10,10,1,4,0.05392281442991485,0.8624462110477161,10.0,lstm,gs,none,structured,False,2,8
-0.0,8,7,0,19,1.0,0.4990204237280613,1.1699739584987148e-06,gru,reinforce,mean,structured,False,2,98
-0.0,7,6,1,6,1.0,0.9093393296219396,0.00010318489698323756,rnn,reinforce,none,structured,False,5,92
-0.16747966905434927,7,7,1,4,0.0010163666357058893,0.60595947831715,10.0,gru,reinforce,none,structured,False,2,8
-0.02926829333106677,10,10,10,4,1e-08,0.0,10.0,gru,reinforce,none,one-hot,True,7,8
-0.0268292681624492,6,1,10,47,0.0015592750275701447,0.4752695564880875,1.2888210594881179e-06,rnn,reinforce,mean,structured,False,5,47
-0.02357723501821359,10,10,10,64,1e-08,0.0,10.0,gru,reinforce,mean,structured,True,7,8
-0.027642276138067245,10,1,10,4,1.0,1.0,1e-08,rnn,reinforce,mean,structured,False,7,8
-0.0268292681624492,7,9,1,64,0.002571467143642481,0.891578375346692,10.0,gru,reinforce,mean,structured,False,7,100
-0.013821138224254051,2,1,10,64,9.807463873594851e-08,0.11788795189792088,10.0,gru,reinforce,none,one-hot,False,7,8
-0.014634146355092525,1,10,0,4,1e-08,0.0,10.0,gru,reinforce,mean,structured,True,7,8
-0.0,7,7,3,64,0.13243001071303434,0.6830452881232272,10.0,gru,gs,none,structured,False,7,8
-0.028455284734567005,9,7,10,4,0.0011351498163365194,0.6818374748646098,8.127928565837769e-08,lstm,reinforce,none,structured,True,6,8
-0.0,1,7,3,8,0.9111082127026874,0.44984791965760323,0.7710398866214913,lstm,reinforce,none,structured,False,6,8
-0.02357723501821359,5,3,8,64,4.401395016063834e-08,0.615540306608079,10.0,gru,reinforce,none,structured,True,6,8
-0.02439024392515421,10,7,0,4,6.56213639461474e-07,0.9046565044991214,0.01039079694382591,gru,gs,mean,one-hot,False,2,8
-0.0,8,9,4,4,0.5597128861938253,0.4539041803593712,0.041810163377513164,lstm,reinforce,mean,structured,False,2,8
-0.03252032523353895,7,6,0,4,0.011964472617258028,0.0647694058813444,0.011437631293623981,gru,reinforce,none,one-hot,False,3,8
-0.021138211091359455,1,2,3,48,7.807276750728542e-06,0.8978437160538125,10.0,gru,reinforce,none,structured,True,2,8
-0.02926829271018505,1,1,10,64,1.0,0.0,10.0,gru,reinforce,none,structured,False,7,8
-0.02926829271018505,7,10,0,4,4.350412361503607e-06,0.7766138352262278,0.016132585260725512,lstm,reinforce,none,one-hot,False,2,8
-0.019512195140123367,10,2,7,63,0.0015820409114972193,0.0,7.5434205607985485e-06,rnn,reinforce,none,one-hot,False,2,79
-0.02926829271018505,2,4,1,28,9.318032418312025e-05,0.7221881044607222,2.5079293293396,gru,reinforce,none,structured,False,7,17
-0.008130080997943878,7,10,5,4,0.008800341210572772,0.5653981662464874,10.0,gru,reinforce,none,structured,False,7,8
-0.043902438133955,10,5,4,64,0.04062207859539605,0.7304698321826353,1.0031995271737437e-06,gru,reinforce,none,structured,False,2,20
-0.02926829271018505,1,6,4,12,0.0014112098649104183,0.0,1e-08,gru,reinforce,none,one-hot,False,2,8
-0.027642276758948963,5,7,10,54,0.001716008507439124,0.16505340834951268,10.0,lstm,reinforce,none,structured,False,2,56
-0.02439024392515421,8,8,5,4,1.0827016870962601e-06,0.12932177022873206,10.0,gru,reinforce,none,structured,False,2,8
-0.0804878044873476,1,8,3,29,0.0017405989243882254,0.17320826509547596,10.0,gru,reinforce,none,structured,False,2,50
-0.02439024392515421,9,9,6,8,0.0015444472873971634,0.6330397134789211,0.0016933920967594882,lstm,reinforce,none,structured,False,3,85
-0.018699186854064465,9,3,4,18,0.0007180961545806484,0.7418860292603303,10.0,gru,gs,none,structured,False,2,83
-0.025203252211213112,7,10,2,4,0.0026348305014848843,0.5511552460230018,10.0,gru,reinforce,none,structured,False,2,100
-0.0,9,10,0,4,0.0024719720150981335,0.0709755925501526,10.0,rnn,reinforce,none,structured,False,2,8
