x	y	C
0	0	0
1	0	0
2	0	0
0	1	0
1	1	0
2	1	1
0	2	0
1	2	0
2	2	2
0	3	0
1	3	0
2	3	3
0	4	0
1	4	0
2	4	4
0	5	0
1	5	0
2	5	5
0	6	0
1	6	1
2	6	0
0	7	0
1	7	1
2	7	1
0	8	0
1	8	1
2	8	2
0	9	0
1	9	1
2	9	3
0	10	0
1	10	1
2	10	4
0	11	0
1	11	1
2	11	5
0	12	0
1	12	2
2	12	0
0	13	0
1	13	2
2	13	1
0	14	0
1	14	2
2	14	2
0	15	0
1	15	2
2	15	3
0	16	0
1	16	2
2	16	4
0	17	0
1	17	2
2	17	5
0	18	0
1	18	3
2	18	0
0	19	0
1	19	3
2	19	1
0	20	0
1	20	3
2	20	2
0	21	0
1	21	3
2	21	3
0	22	0
1	22	3
2	22	4
0	23	0
1	23	3
2	23	5
0	24	0
1	24	4
2	24	0
0	25	0
1	25	4
2	25	1
0	26	0
1	26	4
2	26	2
0	27	0
1	27	4
2	27	3
0	28	0
1	28	4
2	28	4
0	29	0
1	29	4
2	29	5
0	30	0
1	30	5
2	30	0
0	31	0
1	31	5
2	31	1
0	32	0
1	32	5
2	32	2
0	33	0
1	33	5
2	33	3
0	34	0
1	34	5
2	34	4
0	35	0
1	35	5
2	35	5
0	36	1
1	36	0
2	36	0
0	37	1
1	37	0
2	37	1
0	38	1
1	38	0
2	38	2
0	39	1
1	39	0
2	39	3
0	40	1
1	40	0
2	40	4
0	41	1
1	41	0
2	41	5
0	42	1
1	42	1
2	42	0
0	43	1
1	43	1
2	43	1
0	44	1
1	44	1
2	44	2
0	45	1
1	45	1
2	45	3
0	46	1
1	46	1
2	46	4
0	47	1
1	47	1
2	47	5
0	48	1
1	48	2
2	48	0
0	49	1
1	49	2
2	49	1
0	50	1
1	50	2
2	50	2
0	51	1
1	51	2
2	51	3
0	52	1
1	52	2
2	52	4
0	53	1
1	53	2
2	53	5
0	54	1
1	54	3
2	54	0
0	55	1
1	55	3
2	55	1
0	56	1
1	56	3
2	56	2
0	57	1
1	57	3
2	57	3
0	58	1
1	58	3
2	58	4
0	59	1
1	59	3
2	59	5
0	60	1
1	60	4
2	60	0
0	61	1
1	61	4
2	61	1
0	62	1
1	62	4
2	62	2
0	63	1
1	63	4
2	63	3
0	64	1
1	64	4
2	64	4
0	65	1
1	65	4
2	65	5
0	66	1
1	66	5
2	66	0
0	67	1
1	67	5
2	67	1
0	68	1
1	68	5
2	68	2
0	69	1
1	69	5
2	69	3
0	70	1
1	70	5
2	70	4
0	71	1
1	71	5
2	71	5
0	72	2
1	72	0
2	72	0
0	73	2
1	73	0
2	73	1
0	74	2
1	74	0
2	74	2
0	75	2
1	75	0
2	75	3
0	76	2
1	76	0
2	76	4
0	77	2
1	77	0
2	77	5
0	78	2
1	78	1
2	78	0
0	79	2
1	79	1
2	79	1
0	80	2
1	80	1
2	80	2
0	81	2
1	81	1
2	81	3
0	82	2
1	82	1
2	82	4
0	83	2
1	83	1
2	83	5
0	84	2
1	84	2
2	84	0
0	85	2
1	85	2
2	85	1
0	86	2
1	86	2
2	86	2
0	87	2
1	87	2
2	87	3
0	88	2
1	88	2
2	88	4
0	89	2
1	89	2
2	89	5
0	90	2
1	90	3
2	90	0
0	91	2
1	91	3
2	91	1
0	92	2
1	92	3
2	92	2
0	93	2
1	93	3
2	93	3
0	94	2
1	94	3
2	94	4
0	95	2
1	95	3
2	95	5
0	96	2
1	96	4
2	96	0
0	97	2
1	97	4
2	97	1
0	98	2
1	98	4
2	98	2
0	99	2
1	99	4
2	99	3
0	100	2
1	100	4
2	100	4
0	101	2
1	101	4
2	101	5
0	102	2
1	102	5
2	102	0
0	103	2
1	103	5
2	103	1
0	104	2
1	104	5
2	104	2
0	105	2
1	105	5
2	105	3
0	106	2
1	106	5
2	106	4
0	107	2
1	107	5
2	107	5
0	108	3
1	108	0
2	108	0
0	109	3
1	109	0
2	109	1
0	110	3
1	110	0
2	110	2
0	111	3
1	111	0
2	111	3
0	112	3
1	112	0
2	112	4
0	113	3
1	113	0
2	113	5
0	114	3
1	114	1
2	114	0
0	115	3
1	115	1
2	115	1
0	116	3
1	116	1
2	116	2
0	117	3
1	117	1
2	117	3
0	118	3
1	118	1
2	118	4
0	119	3
1	119	1
2	119	5
0	120	3
1	120	2
2	120	0
0	121	3
1	121	2
2	121	1
0	122	3
1	122	2
2	122	2
0	123	3
1	123	2
2	123	3
0	124	3
1	124	2
2	124	4
0	125	3
1	125	2
2	125	5
0	126	3
1	126	3
2	126	0
0	127	3
1	127	3
2	127	1
