x	y	C
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	1
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	2
0	3	3
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	2
7	3	2
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	2
7	4	2
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	2
7	5	1
0	6	3
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	2
7	6	1
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	1
7	7	1
0	8	3
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	1
7	8	1
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	2
6	9	2
7	9	1
0	10	3
1	10	0
2	10	0
3	10	0
4	10	0
5	10	2
6	10	2
7	10	1
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	2
6	11	1
7	11	1
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	1
6	12	1
7	12	1
0	13	3
1	13	0
2	13	0
3	13	0
4	13	0
5	13	2
6	13	1
7	13	1
0	14	3
1	14	0
2	14	0
3	14	0
4	14	0
5	14	1
6	14	1
7	14	1
0	15	0
1	15	0
2	15	0
3	15	0
4	15	2
5	15	2
6	15	1
7	15	1
0	16	3
1	16	0
2	16	0
3	16	0
4	16	2
5	16	2
6	16	1
7	16	1
0	17	3
1	17	0
2	17	0
3	17	0
4	17	2
5	17	1
6	17	1
7	17	1
0	18	0
1	18	0
2	18	0
3	18	0
4	18	2
5	18	1
6	18	1
7	18	4
0	19	0
1	19	0
2	19	0
3	19	0
4	19	2
5	19	1
6	19	1
7	19	1
0	20	0
1	20	0
2	20	0
3	20	2
4	20	2
5	20	1
6	20	1
7	20	1
0	21	0
1	21	0
2	21	0
3	21	0
4	21	1
5	21	1
6	21	1
7	21	4
0	22	3
1	22	0
2	22	0
3	22	0
4	22	2
5	22	1
6	22	1
7	22	4
0	23	0
1	23	0
2	23	0
3	23	2
4	23	1
5	23	1
6	23	1
7	23	1
0	24	3
1	24	0
2	24	0
3	24	0
4	24	1
5	24	1
6	24	1
7	24	4
0	25	3
1	25	0
2	25	0
3	25	2
4	25	2
5	25	1
6	25	1
7	25	1
0	26	0
1	26	0
2	26	0
3	26	2
4	26	1
5	26	1
6	26	1
7	26	4
0	27	3
1	27	0
2	27	0
3	27	2
4	27	1
5	27	1
6	27	1
7	27	1
0	28	0
1	28	0
2	28	0
3	28	2
4	28	1
5	28	1
6	28	4
7	28	4
0	29	3
1	29	0
2	29	0
3	29	2
4	29	1
5	29	1
6	29	1
7	29	4
0	30	0
1	30	0
2	30	0
3	30	1
4	30	1
5	30	1
6	30	4
7	30	4
0	31	0
1	31	0
2	31	2
3	31	1
4	31	1
5	31	1
6	31	1
7	31	4
0	32	0
1	32	0
2	32	0
3	32	1
4	32	1
5	32	4
6	32	4
7	32	4
0	33	0
1	33	0
2	33	2
3	33	1
4	33	1
5	33	1
6	33	4
7	33	4
0	34	3
1	34	0
2	34	0
3	34	2
4	34	1
5	34	1
6	34	4
7	34	4
0	35	5
1	35	0
2	35	0
3	35	1
4	35	1
5	35	1
6	35	4
7	35	4
0	36	3
1	36	0
2	36	0
3	36	1
4	36	1
5	36	1
6	36	4
7	36	4
0	37	3
1	37	0
2	37	0
3	37	1
4	37	1
5	37	4
6	37	4
7	37	4
0	38	0
1	38	0
2	38	2
3	38	1
4	38	1
5	38	4
6	38	4
7	38	4
0	39	3
1	39	0
2	39	2
3	39	1
4	39	1
5	39	1
6	39	1
7	39	4
0	40	3
1	40	0
2	40	2
3	40	2
4	40	1
5	40	1
6	40	1
7	40	4
0	41	5
1	41	0
2	41	2
3	41	1
4	41	1
5	41	1
6	41	4
7	41	4
0	42	3
1	42	0
2	42	2
3	42	1
4	42	1
5	42	1
6	42	4
7	42	4
0	43	0
1	43	0
2	43	1
3	43	1
4	43	1
5	43	4
6	43	4
7	43	4
0	44	5
1	44	0
2	44	2
3	44	1
4	44	1
5	44	4
6	44	4
7	44	4
0	45	3
1	45	0
2	45	2
3	45	1
4	45	1
5	45	4
6	45	4
7	45	4
0	46	3
1	46	0
2	46	1
3	46	1
4	46	1
5	46	4
6	46	4
7	46	4
0	47	3
1	47	0
2	47	1
3	47	1
4	47	4
5	47	4
6	47	4
7	47	4
0	48	3
1	48	2
2	48	1
3	48	1
4	48	1
5	48	1
6	48	4
7	48	4
0	49	3
1	49	2
2	49	1
3	49	1
4	49	1
5	49	4
6	49	4
7	49	4
0	50	3
1	50	2
2	50	2
3	50	1
4	50	1
5	50	4
6	50	4
7	50	4
0	51	3
1	51	2
2	51	1
3	51	1
4	51	4
5	51	4
6	51	4
7	51	4
0	52	3
1	52	2
2	52	1
3	52	4
4	52	4
5	52	4
6	52	4
7	52	4
0	53	5
1	53	2
2	53	1
3	53	4
4	53	4
5	53	4
6	53	4
7	53	4
0	54	3
1	54	4
2	54	1
3	54	1
4	54	4
5	54	4
6	54	4
7	54	4
0	55	3
1	55	4
2	55	1
3	55	4
4	55	4
5	55	4
6	55	4
7	55	4
0	56	5
1	56	4
2	56	1
3	56	4
4	56	4
5	56	4
6	56	4
7	56	4
0	57	3
1	57	4
2	57	4
3	57	4
4	57	4
5	57	4
6	57	4
7	57	4
0	58	5
1	58	4
2	58	4
3	58	4
4	58	4
5	58	4
6	58	4
7	58	4
0	59	4
1	59	4
2	59	4
3	59	4
4	59	4
5	59	4
6	59	4
7	59	4
