x	y	C
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	1
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	1
7	2	1
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	2
7	3	2
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	1
6	4	1
7	4	2
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	1
6	5	2
7	5	2
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	2
6	6	1
7	6	2
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	2
6	7	2
7	7	2
0	8	0
1	8	0
2	8	0
3	8	0
4	8	1
5	8	1
6	8	1
7	8	1
0	9	0
1	9	0
2	9	0
3	9	0
4	9	1
5	9	1
6	9	1
7	9	2
0	10	0
1	10	0
2	10	0
3	10	0
4	10	1
5	10	2
6	10	2
7	10	2
0	11	0
1	11	0
2	11	0
3	11	0
4	11	2
5	11	1
6	11	2
7	11	2
0	12	0
1	12	0
2	12	0
3	12	0
4	12	2
5	12	2
6	12	2
7	12	3
0	13	0
1	13	0
2	13	0
3	13	0
4	13	2
5	13	2
6	13	3
7	13	2
0	14	0
1	14	0
2	14	0
3	14	1
4	14	1
5	14	1
6	14	2
7	14	2
0	15	0
1	15	0
2	15	0
3	15	1
4	15	1
5	15	2
6	15	2
7	15	2
0	16	0
1	16	0
2	16	0
3	16	1
4	16	2
5	16	2
6	16	2
7	16	2
0	17	0
1	17	0
2	17	0
3	17	1
4	17	2
5	17	2
6	17	3
7	17	2
0	18	0
1	18	0
2	18	0
3	18	1
4	18	2
5	18	2
6	18	2
7	18	3
0	19	0
1	19	0
2	19	0
3	19	2
4	19	1
5	19	2
6	19	2
7	19	3
0	20	0
1	20	0
2	20	0
3	20	2
4	20	1
5	20	2
6	20	3
7	20	2
0	21	0
1	21	0
2	21	0
3	21	2
4	21	2
5	21	2
6	21	2
7	21	3
0	22	0
1	22	0
2	22	0
3	22	2
4	22	2
5	22	2
6	22	3
7	22	3
0	23	0
1	23	0
2	23	0
3	23	2
4	23	2
5	23	3
6	23	3
7	23	3
0	24	0
1	24	0
2	24	0
3	24	2
4	24	3
5	24	2
6	24	3
7	24	4
0	25	0
1	25	0
2	25	0
3	25	2
4	25	2
5	25	5
6	25	3
7	25	3
0	26	0
1	26	0
2	26	0
3	26	2
4	26	2
5	26	4
6	26	3
7	26	3
0	27	0
1	27	0
2	27	0
3	27	2
4	27	3
5	27	3
6	27	3
7	27	5
0	28	0
1	28	0
2	28	1
3	28	1
4	28	1
5	28	1
6	28	2
7	28	2
0	29	0
1	29	0
2	29	1
3	29	1
4	29	1
5	29	2
6	29	2
7	29	3
0	30	0
1	30	0
2	30	1
3	30	1
4	30	2
5	30	1
6	30	2
7	30	2
0	31	0
1	31	0
2	31	1
3	31	1
4	31	2
5	31	2
6	31	2
7	31	3
0	32	0
1	32	0
2	32	1
3	32	1
4	32	2
5	32	2
6	32	2
7	32	2
0	33	0
1	33	0
2	33	1
3	33	2
4	33	2
5	33	2
6	33	2
7	33	3
0	34	0
1	34	0
2	34	1
3	34	2
4	34	2
5	34	2
6	34	3
7	34	3
0	35	0
1	35	0
2	35	1
3	35	2
4	35	2
5	35	2
6	35	2
7	35	3
0	36	0
1	36	0
2	36	1
3	36	2
4	36	2
5	36	3
6	36	3
7	36	3
0	37	0
1	37	0
2	37	1
3	37	2
4	37	2
5	37	3
6	37	2
7	37	3
0	38	0
1	38	0
2	38	2
3	38	1
4	38	2
5	38	2
6	38	3
7	38	2
0	39	0
1	39	0
2	39	2
3	39	1
4	39	2
5	39	3
6	39	3
7	39	3
0	40	0
1	40	0
2	40	2
3	40	1
4	40	2
5	40	3
6	40	3
7	40	2
0	41	0
1	41	0
2	41	2
3	41	2
4	41	2
5	41	2
6	41	2
7	41	3
0	42	0
1	42	0
2	42	2
3	42	2
4	42	2
5	42	2
6	42	3
7	42	3
0	43	0
1	43	0
2	43	2
3	43	2
4	43	2
5	43	3
6	43	3
7	43	5
0	44	0
1	44	0
2	44	2
3	44	2
4	44	2
5	44	3
6	44	3
7	44	3
0	45	0
1	45	0
2	45	2
3	45	2
4	45	3
5	45	3
6	45	3
7	45	4
0	46	0
1	46	0
2	46	2
3	46	2
4	46	3
5	46	3
6	46	4
7	46	3
0	47	0
1	47	0
2	47	2
3	47	2
4	47	3
5	47	3
6	47	2
7	47	3
0	48	0
1	48	0
2	48	2
3	48	3
4	48	3
5	48	3
6	48	3
7	48	3
0	49	0
1	49	0
2	49	2
3	49	2
4	49	5
5	49	3
6	49	5
7	49	3
0	50	0
1	50	0
2	50	2
3	50	2
4	50	4
5	50	3
6	50	3
7	50	3
0	51	0
1	51	0
2	51	2
3	51	3
4	51	3
5	51	3
6	51	4
7	51	3
0	52	0
1	52	0
2	52	2
3	52	3
4	52	5
5	52	3
6	52	5
7	52	5
0	53	0
1	53	1
2	53	1
3	53	1
4	53	1
5	53	2
6	53	2
7	53	2
0	54	0
1	54	1
2	54	1
3	54	1
4	54	2
5	54	2
6	54	2
7	54	2
0	55	0
1	55	1
2	55	1
3	55	1
4	55	2
5	55	2
6	55	3
7	55	3
0	56	0
1	56	1
2	56	1
3	56	1
4	56	2
5	56	2
6	56	3
7	56	2
0	57	0
1	57	1
2	57	1
3	57	2
4	57	2
5	57	2
6	57	2
7	57	2
0	58	0
1	58	1
2	58	1
3	58	2
4	58	2
5	58	2
6	58	3
7	58	3
0	59	0
1	59	1
2	59	1
3	59	2
4	59	2
5	59	2
6	59	2
7	59	3
0	60	0
1	60	1
2	60	1
3	60	2
4	60	2
5	60	3
6	60	3
7	60	2
0	61	0
1	61	1
2	61	2
3	61	2
4	61	2
5	61	2
6	61	3
7	61	3
0	62	0
1	62	1
2	62	2
3	62	2
4	62	2
5	62	2
6	62	3
7	62	2
0	63	0
1	63	1
2	63	2
3	63	2
4	63	2
5	63	2
6	63	2
7	63	3
0	64	0
1	64	1
2	64	2
3	64	2
4	64	2
5	64	3
6	64	3
7	64	3
0	65	0
1	65	1
2	65	2
3	65	2
4	65	2
5	65	3
6	65	2
7	65	5
0	66	0
1	66	1
2	66	2
3	66	2
4	66	2
5	66	2
6	66	5
7	66	3
0	67	0
1	67	1
2	67	2
3	67	2
4	67	2
5	67	2
6	67	3
7	67	5
0	68	0
1	68	1
2	68	2
3	68	2
4	68	3
5	68	2
6	68	3
7	68	4
0	69	0
1	69	1
2	69	2
3	69	2
4	69	2
5	69	5
6	69	3
7	69	3
0	70	0
1	70	1
2	70	2
3	70	2
4	70	3
5	70	3
6	70	3
7	70	3
0	71	0
1	71	1
2	71	2
3	71	2
